"Id","MSSubClass","MSZoning","LotArea","LandContour","LotConfig","Neighborhood","BldgType","OverallQual","OverallCond","house_age"
1,"60","RL",8450,"Lvl","Inside","CollgCr","1Fam",7,5,5
2,"20","RL",9600,"Lvl","FR2","Veenker","1Fam",6,8,31
3,"60","RL",11250,"Lvl","Inside","CollgCr","1Fam",7,5,7
4,"70","RL",9550,"Lvl","Corner","Crawfor","1Fam",7,5,91
5,"60","RL",14260,"Lvl","FR2","NoRidge","1Fam",8,5,8
6,"50","RL",14115,"Lvl","Inside","Mitchel","1Fam",5,5,16
7,"20","RL",10084,"Lvl","Inside","Somerst","1Fam",8,5,3
8,"60","RL",10382,"Lvl","Corner","NWAmes","1Fam",7,6,36
9,"50","RM",6120,"Lvl","Inside","OldTown","1Fam",7,5,77
10,"190","RL",7420,"Lvl","Corner","BrkSide","2fmCon",5,6,69
11,"20","RL",11200,"Lvl","Inside","Sawyer","1Fam",5,5,43
12,"60","RL",11924,"Lvl","Inside","NridgHt","1Fam",9,5,1
13,"20","RL",12968,"Lvl","Inside","Sawyer","1Fam",5,6,46
14,"20","RL",10652,"Lvl","Inside","CollgCr","1Fam",7,5,1
15,"20","RL",10920,"Lvl","Corner","NAmes","1Fam",6,5,48
16,"45","RM",6120,"Lvl","Corner","BrkSide","1Fam",7,8,78
17,"20","RL",11241,"Lvl","CulDSac","NAmes","1Fam",6,7,40
18,"90","RL",10791,"Lvl","Inside","Sawyer","Duplex",4,5,39
19,"20","RL",13695,"Lvl","Inside","SawyerW","1Fam",5,5,4
20,"20","RL",7560,"Lvl","Inside","NAmes","1Fam",5,6,51
21,"60","RL",14215,"Lvl","Corner","NridgHt","1Fam",8,5,1
22,"45","RM",7449,"Bnk","Inside","IDOTRR","1Fam",7,7,77
23,"20","RL",9742,"Lvl","Inside","CollgCr","1Fam",8,5,6
24,"120","RM",4224,"Lvl","Inside","MeadowV","TwnhsE",5,7,31
25,"20","RL",8246,"Lvl","Inside","Sawyer","1Fam",5,8,42
