"","SalePrice","YearRemodAdd","RoofStyle","Exterior1st","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","HasBsmt","AvgBsmtScore","TotalBsmtSF","Heating","PctFinBsmt"
"1",208500,18,"Gable","VinylSd","BrkFace",196,"Gd","TA","PConc",1,1.4,856,"GasA","0.824766355140187"
"2",181500,45,"Gable","MetalSd","None",0,"TA","TA","CBlock",1,3.2,1262,"GasA","0.774960380348653"
"3",223500,19,"Gable","VinylSd","BrkFace",162,"Gd","TA","PConc",1,1.6,920,"GasA","0.528260869565217"
"4",140000,51,"Gable","Wd Sdng","None",0,"TA","TA","BrkTil",1,2.2,756,"GasA","0.285714285714286"
"5",250000,21,"Gable","VinylSd","BrkFace",350,"Gd","TA","PConc",1,2,1145,"GasA","0.572052401746725"
"6",143000,26,"Gable","VinylSd","None",0,"TA","TA","Others",1,1.4,796,"GasA","0.919597989949749"
"7",307000,16,"Gable","VinylSd","Stone",186,"Gd","TA","PConc",1,2.2,1686,"GasA","0.811981020166074"
"8",200000,48,"Gable","HdBoard","Stone",240,"TA","TA","CBlock",1,3,1107,"GasA","0.804878048780488"
"9",129900,71,"Gable","Others","None",0,"TA","TA","BrkTil",1,1.2,952,"GasA","0"
"10",118000,71,"Gable","MetalSd","None",0,"TA","TA","BrkTil",1,1.2,991,"GasA","0.858728557013118"
"11",129500,56,"Hip","HdBoard","None",0,"TA","TA","CBlock",1,1.6,1040,"GasA","0.871153846153846"
"12",345000,15,"Hip","Others","Stone",286,"Ex","TA","PConc",1,1.6,1175,"GasA","0.84936170212766"
"13",144000,59,"Hip","HdBoard","None",0,"TA","TA","CBlock",1,2,912,"GasA","0.808114035087719"
"14",279500,14,"Gable","VinylSd","Stone",306,"Gd","TA","PConc",1,2,1494,"GasA","0"
"15",157000,61,"Hip","MetalSd","BrkFace",212,"TA","TA","CBlock",1,1.8,1253,"GasA","0.584996009577015"
"16",132000,20,"Gable","Wd Sdng","None",0,"TA","TA","BrkTil",1,1.2,832,"GasA","0"
"17",149000,51,"Gable","Wd Sdng","BrkFace",180,"TA","TA","CBlock",1,2,1004,"GasA","0.575697211155379"
"18",90000,54,"Gable","MetalSd","None",0,"TA","TA","Others",0,0,0,"GasA","0"
"19",159000,17,"Gable","VinylSd","None",0,"TA","TA","PConc",1,1.2,1114,"GasA","0.579892280071813"
"20",139000,56,"Hip","Others","None",0,"TA","TA","CBlock",1,1.4,1029,"GasA","0.489795918367347"
"21",325300,15,"Gable","VinylSd","BrkFace",380,"Gd","TA","PConc",1,2.2,1158,"GasA","0"
"22",139400,71,"Gable","Wd Sdng","None",0,"TA","TA","PConc",1,1.2,637,"GasA","0"
"23",230000,19,"Hip","VinylSd","BrkFace",281,"Gd","TA","PConc",1,1.4,1777,"GasA","0"
"24",129900,45,"Gable","CemntBd","None",0,"TA","TA","PConc",1,1.4,1040,"GasA","0.807692307692308"
"25",154000,20,"Gable","Plywood","None",0,"TA","Gd","CBlock",1,2.6,1060,"GasA","0.807547169811321"
"26",256300,14,"Gable","VinylSd","Stone",640,"Gd","TA","PConc",1,1.4,1566,"GasA","0"
"27",134800,21,"Gable","Wd Sdng","None",0,"TA","TA","CBlock",1,2.4,900,"GasA","0.8"
"28",306000,13,"Gable","VinylSd","Stone",200,"Gd","TA","PConc",1,1.6,1704,"GasA","0.714788732394366"
"29",207500,24,"Gable","MetalSd","None",0,"TA","TA","CBlock",1,2.8,1484,"GasA","0.860512129380054"
"30",68500,71,"Gable","MetalSd","None",0,"TA","TA","BrkTil",1,1.2,520,"GasA","0"
"31",40000,71,"Others","Others","None",0,"TA","Fa","BrkTil",1,1.2,649,"GasA","0"
"32",149350,15,"Gable","HdBoard","None",0,"TA","TA","CBlock",1,1.2,1228,"GasA","0"
"33",179900,14,"Gable","VinylSd","None",0,"Gd","TA","PConc",1,2.2,1234,"GasA","0"
"34",165500,62,"Hip","Others","None",0,"TA","TA","CBlock",1,1.6,1398,"GasA","0.728183118741059"
"35",277500,16,"Hip","MetalSd","BrkFace",246,"Ex","TA","PConc",1,1.6,1561,"GasA","0.738629083920564"
"36",309000,16,"Gable","VinylSd","Stone",132,"Gd","TA","PConc",1,2.2,1117,"GasA","0"
"37",145000,26,"Gable","VinylSd","None",0,"TA","TA","PConc",1,1.4,1097,"GasA","0"
"38",153000,31,"Hip","Wd Sdng","BrkFace",650,"TA","TA","CBlock",1,1.6,1297,"GasA","0.935235158057055"
"39",109000,14,"Gable","VinylSd","None",0,"TA","Gd","CBlock",1,1.2,1057,"GasA","0.691579943235572"
"40",82000,66,"Gable","Others","None",0,"TA","TA","PConc",0,0,0,"GasA","0"
"41",160000,56,"Gable","Wd Sdng","BrkFace",101,"TA","TA","CBlock",1,1.6,1088,"GasA","0.590992647058823"
"42",170000,62,"Gable","VinylSd","None",0,"TA","Gd","CBlock",1,2.8,1350,"GasA","0.716296296296296"
"43",144000,38,"Gable","HdBoard","None",0,"TA","TA","CBlock",1,3,840,"GasA","1"
"44",130250,41,"Hip","VinylSd","None",0,"TA","TA","CBlock",1,2.8,938,"GasA","0.821961620469083"
"45",141000,62,"Gable","Others","None",0,"TA","TA","CBlock",1,2.6,1150,"GasA","0.595652173913043"
"46",319900,16,"Hip","MetalSd","BrkFace",412,"Ex","TA","PConc",1,1.6,1752,"GasA","0.26027397260274"
"47",239686,18,"Gable","VinylSd","None",0,"Gd","TA","PConc",1,1.6,1434,"GasA","0.942119944211994"
"48",249700,15,"Gable","VinylSd","None",0,"Gd","TA","PConc",1,2,1656,"GasA","0.0144927536231884"
"49",113000,13,"Gable","MetalSd","None",0,"TA","TA","BrkTil",1,1.2,736,"GasA","0"
"50",127000,55,"Gable","HdBoard","None",0,"TA","TA","CBlock",1,1.8,955,"GasA","0.798952879581152"
