"","HeatingQC","CentralAir","ElectricalType","FirstFloorSqft","SecondFloorSqft","Abovegradeliving","BaseFullBath","BaseHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","Functional","Fireplaces","GarageType"
"1","Ex",1,"SBrkr",856,854,1710,1,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"2","Ex",1,"SBrkr",1262,0,1262,0,1,2,0,3,1,"TA","Typ",1,"Attchd"
"3","Ex",1,"SBrkr",920,866,1786,1,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"4","Gd",1,"SBrkr",961,756,1717,1,0,1,0,3,1,"Gd","Typ",1,"Detchd"
"5","Ex",1,"SBrkr",1145,1053,2198,1,0,2,1,4,1,"Gd","Typ",1,"Attchd"
"6","Ex",1,"SBrkr",796,566,1362,1,0,1,1,1,1,"TA","Typ",0,"Attchd"
"7","Ex",1,"SBrkr",1694,0,1694,1,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"8","Ex",1,"SBrkr",1107,983,2090,1,0,2,1,3,1,"TA","Typ",2,"Attchd"
"9","Gd",1,"FuseF",1022,752,1774,0,0,2,0,2,2,"TA","Deduction",2,"Detchd"
"10","Ex",1,"SBrkr",1077,0,1077,1,0,1,0,2,2,"TA","Typ",2,"Attchd"
"11","Ex",1,"SBrkr",1040,0,1040,1,0,1,0,3,1,"TA","Typ",0,"Detchd"
"12","Ex",1,"SBrkr",1182,1142,2324,1,0,3,0,4,1,"Ex","Typ",2,"BuiltIn"
"13","TA",1,"SBrkr",912,0,912,1,0,1,0,2,1,"TA","Typ",0,"Detchd"
"14","Ex",1,"SBrkr",1494,0,1494,0,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"15","TA",1,"SBrkr",1253,0,1253,1,0,1,1,2,1,"TA","Typ",1,"Attchd"
"16","Ex",1,"FuseA",854,0,854,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"17","Ex",1,"SBrkr",1004,0,1004,1,0,1,0,2,1,"TA","Typ",1,"Attchd"
"18","TA",1,"SBrkr",1296,0,1296,0,0,2,0,2,2,"TA","Typ",0,"CarPort"
